遞ｮ逶ｮ,No.,名前,年,年代区分,名前,エントリータイム,性別,距離,種目,,,,
200m FreestyleWomen,19,ITO Mai,1994,30-34,CA M E LLIA S W IM T E A M,02:29.9,Women,200m,Freestyle,,,,
200m FreestyleWomen,20,RO ME RO  Mi r n a,1992,30-34,NA RV A LE S,02:29.8,Women,200m,Freestyle,,,,
200m FreestyleWomen,21,MA U R E R  J e n n i f e r,1994,30-34,T V NE LLINGE N,02:29.4,Women,200m,Freestyle,,,,
200m FreestyleWomen,22,RI MME RMAN E l e a n o r,1995,30-34,OHIOS P LA S H,02:29.1,Women,200m,Freestyle,,,,
200m FreestyleWomen,23,LANKE RS  Dor ot he e,1995,30-34,W A S P OHE RRINGE N1929,02:28.6,Women,200m,Freestyle,,,,
200m FreestyleWomen,24,MC D O N A G H  Me g a n,1993,30-34,OT T E RS C,02:24.8,Women,200m,Freestyle,,,,
200m FreestyleWomen,25,LE E  Hy e won,1992,30-34,GIL,02:24.5,Women,200m,Freestyle,,,,
200m FreestyleWomen,26,HE RNANDE Z  Ma r i a n,1993,30-34,CLUB M A S T E RV A LE NCIA,02:24.4,Women,200m,Freestyle,,,,
200m FreestyleWomen,27,MO N T E I R O  A l e x a n d r a  S o f i a,1992,30-34,CLUB E NA UT ICODE LE IRIA -V OID,02:23.5,Women,200m,Freestyle,,,,
200m FreestyleWomen,28,HE RT E L  L a u r a,1993,30-34,S CW E S CHB ORN,02:22.2,Women,200m,Freestyle,,,,
200m FreestyleWomen,29,NAKAT ANI  T a k a n a,1991,30-34,NA NIW A M E RM A ID,02:21.2,Women,200m,Freestyle,,,,
200m FreestyleWomen,30,VANET Pa ul i ne,1992,30-34,US M V IRE,02:20.6,Women,200m,Freestyle,,,,
200m FreestyleWomen,31,BE V AN T e s s a,1994,30-34,LE V INM A S T E RS,02:19.0,Women,200m,Freestyle,,,,
200m FreestyleWomen,32,FRAS E R Ca r l y  Ni c oe,1992,30-34,S ILV E RCIT YB LUE S M A S T E RS S C,02:18.6,Women,200m,Freestyle,,,,
200m FreestyleWomen,33,SEMENOVA Sof i i a,1995,30-34,NA B,02:16.5,Women,200m,Freestyle,,,,
200m FreestyleWomen,34,JI MENEZ TOBOSO Angel a,1992,30-34,C.P .LA RODA,02:16.2,Women,200m,Freestyle,,,,
200m FreestyleWomen,35,DAL L ADAS  L i n d a,1991,30-34,S GHT 16HA M B URG,02:13.1,Women,200m,Freestyle,,,,
200m FreestyleWomen,36,GAJ DOWS KA Ag n i e s z k a,1995,30-34,W A T E RS QUA D,02:12.7,Women,200m,Freestyle,,,,
200m FreestyleWomen,37,ARNO L D Al l i s o n,1992,30-34,T HE OLYM P ICCLUB,02:11.3,Women,200m,Freestyle,,,,
200m FreestyleWomen,38,AL T AMURA V e n e r e,1995,30-34,S P ORT P ROJ E CT S S DS RL,02:11.0,Women,200m,Freestyle,,,,
200m FreestyleWomen,39,XU Xue,1991,30-34,HA NGZHOUS W IM M INGA S S OCIA T ION,02:10.3,Women,200m,Freestyle,,,,
200m FreestyleWomen,40,TE ZUKA Ri s a,1993,30-34,T S UNA S HIM A YOT S US E IT A IIN,02:08.9,Women,200m,Freestyle,,,,
200m FreestyleWomen,41,FATUM- BOKE R Al i s a,1995,30-34,S S V LE UT ZS CH,02:08.6,Women,200m,Freestyle,,,,
200m FreestyleWomen,42,MA I B E R G E R  A n n a  L e n a,1995,30-34,S CW FR.M UNCHE N,02:08.0,Women,200m,Freestyle,,,,
200m FreestyleWomen,43,CUNNI NG HAM V i c t o r i a  E mi l,1994,30-34,T RA FFORDM E T ROB ORS C,02:07.6,Women,200m,Freestyle,,,,
200m FreestyleWomen,44,RADO UNS KI  V i c t o r i a,1994,30-34,S W IM ONT A RIOM A S T E RS,02:06.4,Women,200m,Freestyle,,,,
200m FreestyleWomen,1,CO F F E Y  Ma r y,2000,25-29,CORK M A S T E RS,02:37.6,Women,200m,Freestyle,,,,
200m FreestyleWomen,2,HO  Ch e l s e a  X i u  E n,1997,25-29,T S A M A S T E RS,02:37.5,Women,200m,Freestyle,,,,
200m FreestyleWomen,3,LAW S a r a h,1997,25-29,ILLINOIS M A S T E RS,02:36.0,Women,200m,Freestyle,,,,
200m FreestyleWomen,4,RI O RDAN E mi l y  J a n e,1999,25-29,P OW E RP OINT S,02:36.0,Women,200m,Freestyle,,,,
200m FreestyleWomen,5,VARGAS GONZALEZ Pe ne l ope,1996,25-29,S NA CIW E LLNE S S CLUB,02:36.0,Women,200m,Freestyle,,,,
200m FreestyleWomen,6,NI S HI KUBO  Na h o,1998,25-29,UOK IZOK U,02:35.0,Women,200m,Freestyle,,,,
200m FreestyleWomen,7,DE NT I S  L i l i a n a,1997,25-29,T IT A NS,02:34.0,Women,200m,Freestyle,,,,
200m FreestyleWomen,8,CUS S E N Ke a l e y,2000,25-29,T OW NS V ILLE A QUA HOLICS M A S T E RS,02:33.9,Women,200m,Freestyle,,,,
200m FreestyleWomen,9,WO N G  S u e t  Wi n g,1999,25-29,DIK W INGA S S OCIA T IONLIM IT E D,02:33.1,Women,200m,Freestyle,,,,
200m FreestyleWomen,10,LE S LI E  Ca t he r i ne,1996,25-29,S ILV E RCIT YB LUE S M A S T E RS S C,02:31.9,Women,200m,Freestyle,,,,
200m FreestyleWomen,11,LE QUI TTE - - CHARRANS OL P e r,1996,25-29,V GA S T -M A UR,02:31.5,Women,200m,Freestyle,,,,
200m FreestyleWomen,12,LE E  Ce r y s  Fr a nc e s c a,1999,25-29,ROYA LA IRFORCE S W IM T E A M,02:31.4,Women,200m,Freestyle,,,,
200m FreestyleWomen,13,STASKOVA Pa ul i na,1997,25-29,T J DUNA J S T UROV O,02:31.2,Women,200m,Freestyle,,,,
200m FreestyleWomen,14,RAMI RE Z  G UT I E RRE Z  Ar a c e l,1996,25-29,CLUB CA S A B LA NCA,02:30.8,Women,200m,Freestyle,,,,
200m FreestyleWomen,15,LE V Y KI NA Ana s t a s i a,1999,25-29,NA B,02:30.3,Women,200m,Freestyle,,,,
200m FreestyleWomen,16,SALETTA Fe de r i c a,1997,25-29,W E T T ONE S S W IM M INGCLUB,02:30.2,Women,200m,Freestyle,,,,
200m FreestyleWomen,17,BRUCK Ha n n a h  Ma d e l e i n e,1996,25-29,FA S T LA NE S W IM M INGCOLIM IT E D,02:30.0,Women,200m,Freestyle,,,,
200m FreestyleWomen,18,RO UT L E DG E  G r a c e,1999,25-29,T RA FFORDM E T ROB ORS C,02:27.9,Women,200m,Freestyle,,,,
200m FreestyleWomen,19,SATO Na na,1999,25-29,T IP OIZUM IGA K UE N,02:26.9,Women,200m,Freestyle,,,,
200m FreestyleWomen,20,HO NE R Re b e c c a,2000,25-29,S GS CHONE B E RGB E RLIN,02:25.6,Women,200m,Freestyle,,,,
200m FreestyleWomen,21,GORDON Ai s l a  Al e x a n d r a,1998,25-29,S ILV E RCIT YB LUE S M A S T E RS S C,02:25.3,Women,200m,Freestyle,,,,
200m FreestyleWomen,22,RO S A V i t o r i a,1996,25-29,RODRIGONUOT OT RIV INOA E,02:25.2,Women,200m,Freestyle,,,,
200m FreestyleWomen,23,THI E N La ur a,1996,25-29,S CW E S CHB ORN,02:24.6,Women,200m,Freestyle,,,,
200m FreestyleWomen,24,ANAS HKI NA V a l e n t i n a,1998,25-29,NA B,02:24.0,Women,200m,Freestyle,,,,
200m FreestyleWomen,25,GAUCHE R P a u l i n e,1997,25-29,OP T IM A XT RA ININGNA T A T ION78,02:22.1,Women,200m,Freestyle,,,,
200m FreestyleWomen,26,WE C L A WI A K  R i n a,1998,25-29,W A T E RS QUA D,02:20.9,Women,200m,Freestyle,,,,
200m FreestyleWomen,27,DE  L A T O RRE  G UI L  Ma r i n a,1997,25-29,W E T T ONE S S W IM M INGCLUB,02:20.6,Women,200m,Freestyle,,,,
200m FreestyleWomen,28,BO L AND Br i g i t t e,1997,25-29,NE P T UNE CLUB DE FRA NCE,02:19.2,Women,200m,Freestyle,,,,
200m FreestyleWomen,29,TRUTZS CHLE R Ur s ul a,1997,25-29,S CW E S CHB ORN,02:19.2,Women,200m,Freestyle,,,,
200m FreestyleWomen,30,BO HL E R No r a,1998,25-29,S CHW A M M CLUB DE IFFE RDA NG,02:17.9,Women,200m,Freestyle,,,,
200m FreestyleWomen,31,SI MONOVA Va r v a r a,2000,25-29,NA B,02:17.4,Women,200m,Freestyle,,,,
200m FreestyleWomen,32,SHEEHAN Rhi a nna,1998,25-29,GRE A T B RIT A INP OLICE,02:16.8,Women,200m,Freestyle,,,,
200m FreestyleWomen,33,CRUZ  Di a n a,1996,25-29,UNA M,02:16.0,Women,200m,Freestyle,,,,
200m FreestyleWomen,34,SI ANI  Cr i s t i na,1998,25-29,CIRCOLOCA NOT T IE RIA NIE NE,02:15.0,Women,200m,Freestyle,,,,
200m FreestyleWomen,35,O HARA Br o g a n,1998,25-29,LE A NDE RA S C,02:14.8,Women,200m,Freestyle,,,,
200m FreestyleWomen,36,CAV ADI NI  V i r g i n i e,1998,25-29,CRNB RUXE LLE S -A T A LA NT E,02:14.0,Women,200m,Freestyle,,,,
200m FreestyleWomen,37,ORT E GA J e s s i c a,1996,25-29,A CUA T ICA NE LS ONV A RGA S,02:14.0,Women,200m,Freestyle,,,,
200m FreestyleWomen,38,CHI T I  E l e o n o r a,1997,25-29,K LA B S P ORT,02:14.0,Women,200m,Freestyle,,,,
200m FreestyleWomen,39,WA N G  X i n y a n,1999,25-29,NE W HA M & UNIV .E A S T LONDONS C,02:13.0,Women,200m,Freestyle,,,,
200m FreestyleWomen,40,MA T H E  L e o n i e,1996,25-29,S CDE LP HININGOLS T A DT,02:12.3,Women,200m,Freestyle,,,,
200m FreestyleWomen,41,HE L L E NS CHMI DT  J a n a  Ka t h a,1999,25-29,S CW E S CHB ORN,02:11.8,Women,200m,Freestyle,,,,
200m FreestyleWomen,42,JOVER GALLEGO Mar i na,2000,25-29,C.N.CA LV IA,02:11.8,Women,200m,Freestyle,,,,
200m FreestyleWomen,43,VDOVI NA Ek a t e r i na,1998,25-29,NA B,02:11.2,Women,200m,Freestyle,,,,
200m FreestyleWomen,44,PI CCARDO St e f a ni a,1998,25-29,P A RA GUA YM A S T E RS,02:11.1,Women,200m,Freestyle,,,,
400m FreestyleWomen,1,WA L K E R  A n n e,1937,85-89,DA RW INS T INGE RS M A S T E RS S C,09:26.9,Women,400m,Freestyle,,,,
400m FreestyleWomen,2,OS AKI  Y o s h i k o,1938,85-89,S T K A NS A I,07:10.0,Women,400m,Freestyle,,,,
400m FreestyleWomen,1,SMI THSON Ma r ga r e t,1943,80-84,S T A DIUM M A S T E RS S C,12:07.6,Women,400m,Freestyle,,,,
400m FreestyleWomen,2,BRO MWI CH E l a i n e,1942,80-84,B IRM INGHA M M A S T E RS,10:11.0,Women,400m,Freestyle,,,,
400m FreestyleWomen,3,SHEN Ya ng- Ya ng,1944,80-84,HA IYE NA QUA T ICS M A S T E RCLUB,09:57.4,Women,400m,Freestyle,,,,
400m FreestyleWomen,4,CARO N Aa g j e  A,1941,80-84,GRE A T B A YM A S T E RS S W IM M ING,09:26.2,Women,400m,Freestyle,,,,
400m FreestyleWomen,5,FI TTOCK Ma r ga r e t,1941,80-84,M IA M IM A S T E RS S W IM M INGCLUB,09:20.4,Women,400m,Freestyle,,,,
400m FreestyleWomen,6,KRE I S E L  An n e,1941,80-84,S GNE US S,08:29.3,Women,400m,Freestyle,,,,
400m FreestyleWomen,7,FRE I TAS  HE RI LE NE  He r i l e n,1942,80-84,RODRIGONUOT OT RIV INOA E,08:20.0,Women,400m,Freestyle,,,,
400m FreestyleWomen,8,UCHI DA Ry o k o,1945,80-84,CFCYOGA,08:15.1,Women,400m,Freestyle,,,,
400m FreestyleWomen,9,SATO Yur i k o,1944,80-84,CFCYOGA,08:10.6,Women,400m,Freestyle,,,,
400m FreestyleWomen,10,SI MPSON Ca r ol e,1945,80-84,M IA M IM A S T E RS S W IM M INGCLUB,07:38.6,Women,400m,Freestyle,,,,
400m FreestyleWomen,11,SEVI GNY LANTHI ER Ma de l e i,1943,80-84,CNM ONT -T RE M B LA NT,07:16.6,Women,400m,Freestyle,,,,
400m FreestyleWomen,12,ZHAN Y i ngy i ng,1944,80-84,S HA NGHA IS W IM S T A RS C,07:10.0,Women,400m,Freestyle,,,,
400m FreestyleWomen,1,CARL I L E  J a n,1947,75-79,DONCA S T E RDOLP HINS M A S T E RS S C,10:18.7,Women,400m,Freestyle,,,,
400m FreestyleWomen,2,RO G E RS  S a n d r a,1946,75-79,B UNNA -B A RRA M A S T E RS S C,09:44.2,Women,400m,Freestyle,,,,
400m FreestyleWomen,3,HARRI S O N Ca r me n,1949,75-79,S T A DIUM M A S T E RS S C,09:36.1,Women,400m,Freestyle,,,,
400m FreestyleWomen,4,YAKKO Kumi k o,1948,75-79,NIT T A ZUK A S S FUK UI,09:34.8,Women,400m,Freestyle,,,,
400m FreestyleWomen,5,MA MI N O  Y o s h i k o,1950,75-79,M E GA LOS CHOFU,09:30.7,Women,400m,Freestyle,,,,
400m FreestyleWomen,6,ENOMOTO Yo,1949,75-79,S FS HIROK A NE,09:14.2,Women,400m,Freestyle,,,,
400m FreestyleWomen,7,PHI LLI PS Na r e l l e,1947,75-79,B E LGRA V IA M A S T E RS S W IM T E A M,08:08.3,Women,400m,Freestyle,,,,
400m FreestyleWomen,8,CART E R T e r r y,1950,75-79,M IA M IM A S T E RS S W IM M INGCLUB,08:07.4,Women,400m,Freestyle,,,,
400m FreestyleWomen,9,TAY LOR I z z y,1950,75-79,W A IK A T OM A S T E RS S W IM M ING,07:51.2,Women,400m,Freestyle,,,,
400m FreestyleWomen,10,SMI TH Roby n El i z a be t h,1949,75-79,CLA RE M ONT M A S T E RS,07:17.6,Women,400m,Freestyle,,,,
400m FreestyleWomen,11,EL ATTAR Soha i r,1949,75-79,GE ZIRA,07:13.1,Women,400m,Freestyle,,,,
400m FreestyleWomen,12,TOTH I l ona,1950,75-79,T OROK B A LINT IS E NIORUS ZOCLUB,06:59.0,Women,400m,Freestyle,,,,
400m FreestyleWomen,13,PI NFOLD El e a nor,1950,75-79,W A IK A T OM A S T E RS S W IM M ING,06:37.2,Women,400m,Freestyle,,,,
400m FreestyleWomen,14,RE Y NO L DS  P a t,1950,75-79,B E A V E RS M A S T E RS B E DFORDS C,06:34.0,Women,400m,Freestyle,,,,
400m FreestyleWomen,1,SNELL Li nda,1951,70-74,W E S T M OUNT YM CA M N,08:59.8,Women,400m,Freestyle,,,,
400m FreestyleWomen,2,LABUZ E wa  Ur s z ul a,1955,70-74,S P S W IM M E RS,08:50.3,Women,400m,Freestyle,,,,
400m FreestyleWomen,3,VASCONCELOS Cr i s t i na,1955,70-74,D' S T A K A CA DE M IA,08:45.6,Women,400m,Freestyle,,,,
400m FreestyleWomen,4,CO RDE RO  Ma r i a  Ca r me n,1954,70-74,E S T A DIOE S P A NOL,08:18.7,Women,400m,Freestyle,,,,
400m FreestyleWomen,5,NUNE Z  RI O S  E n r i q u e t a,1951,70-74,S W IM S QUA D,08:10.0,Women,400m,Freestyle,,,,
400m FreestyleWomen,6,GOODV ACH V i d a,1955,70-74,DA RW INS T INGE RS M A S T E RS S C,07:53.2,Women,400m,Freestyle,,,,
400m FreestyleWomen,7,CS E RI  P i r o s k a,1954,70-74,T OROK B A LINT IS E NIORUS ZOCLUB,07:48.4,Women,400m,Freestyle,,,,
400m FreestyleWomen,8,KO NNO  S u mi e,1954,70-74,NIS P OS E NDA IM INA M I,07:17.7,Women,400m,Freestyle,,,,
400m FreestyleWomen,9,JOSWI G Ger da Dor ot hea Ed,1955,70-74,S GS B A RS INGHA US E N,06:55.1,Women,400m,Freestyle,,,,
400m FreestyleWomen,10,BRADL E Y  G a y,1955,70-74,COT T ONT RE E M A S T E RS S C,06:51.9,Women,400m,Freestyle,,,,
400m FreestyleWomen,11,PASMA Ma r gr i e t  Adr i a na,1955,70-74,T RIV IA,06:14.8,Women,400m,Freestyle,,,,
400m FreestyleWomen,12,PARSONS El e a nor  Ky l i e,1955,70-74,CLA RE M ONT M A S T E RS,06:12.0,Women,400m,Freestyle,,,,
400m FreestyleWomen,13,SATO J unk o,1954,70-74,RYOGOK UK INGYO,06:12.0,Women,400m,Freestyle,,,,
400m FreestyleWomen,14,BO URNE  An n e,1954,70-74,B IRM INGHA M M A S T E RS,06:08.7,Women,400m,Freestyle,,,,
400m FreestyleWomen,15,VACA La ur a,1953,70-74,A CUA T ICA NE LS ONV A RGA S,05:53.0,Women,400m,Freestyle,,,,
400m FreestyleWomen,16,TARANTI NO Cr i s t i na,1955,70-74,CIRCOLOCA NOT T IE RIA NIE NE,05:45.0,Women,400m,Freestyle,,,,
400m FreestyleWomen,1,ZHANG J un,1958,65-69,NE W W A T E RP OLOCLUB,08:49.6,Women,400m,Freestyle,,,,
400m FreestyleWomen,2,MA S B O U R I A N  A n i t a,1960,65-69,CA M ONA T A T ION,08:40.7,Women,400m,Freestyle,,,,
400m FreestyleWomen,3,ZHANG Y i ngy i ng,1960,65-69,S HA NGHA IS W IM S T A RS C,08:30.0,Women,400m,Freestyle,,,,
400m FreestyleWomen,4,PEREZ Cha nt a l,1956,65-69,M A S T E RS NA T A T ION-LA NGON-S G,08:26.9,Women,400m,Freestyle,,,,
400m FreestyleWomen,5,CHO I  Y e o n  S o o k,1959,65-69,S W IM ON,08:20.0,Women,400m,Freestyle,,,,
400m FreestyleWomen,6,SPECHT He i de  Dor ot he a,1957,65-69,S COS NA B RUCK 04,08:16.2,Women,400m,Freestyle,,,,
400m FreestyleWomen,7,CAS T I L L O  P a t y,1960,65-69,A QUA T IK S P ORT CE NT E R,08:03.9,Women,400m,Freestyle,,,,
400m FreestyleWomen,8,NO AKE  J a n e,1957,65-69,S E A S IDE P IRA T E S,07:46.1,Women,400m,Freestyle,,,,
400m FreestyleWomen,9,BI E G L E R I l s e,1957,65-69,S CHW IM M UNIONM ODLING,07:31.1,Women,400m,Freestyle,,,,
400m FreestyleWomen,10,MA R T I N - B L A K E  S u s a n  G a y e,1958,65-69,HORNS B YM A S T E RS S W IM M ING,07:14.9,Women,400m,Freestyle,,,,
400m FreestyleWomen,11,MC L E L L A N  S h a r o n,1958,65-69,HA DLE IGHA NDS UDB URYS C,06:50.0,Women,400m,Freestyle,,,,
400m FreestyleWomen,12,BI J KE RK Co r n e l i a  Ch r i s t i,1960,65-69,GZCDONK,06:47.7,Women,400m,Freestyle,,,,
400m FreestyleWomen,13,OI KAWA Ky o k o,1960,65-69,S A P P OROYUCHOS C,06:26.9,Women,400m,Freestyle,,,,
400m FreestyleWomen,14,GE T T E L F I NGE R Ch e r y l  M,1957,65-69,INDYA QUA T ICM A S T E RS,06:21.8,Women,400m,Freestyle,,,,
400m FreestyleWomen,15,BURNARD Cl a r e,1959,65-69,M A K INOM A S T E RS,06:18.8,Women,400m,Freestyle,,,,
400m FreestyleWomen,16,BRO WN De n i s e,1959,65-69,M ICHIGA NM A S T E RS,06:12.6,Women,400m,Freestyle,,,,
400m FreestyleWomen,17,BL O CKA J a n i c e,1960,65-69,HOLLYB URNS W IM T E A M,06:10.0,Women,400m,Freestyle,,,,
400m FreestyleWomen,18,TUNZI  Ke r s t i n,1956,65-69,GA V LE S IM S A LLS K A P,06:09.3,Women,400m,Freestyle,,,,
400m FreestyleWomen,19,GADS BY  Do n n a,1959,65-69,M ORNINGT ONP E NINS ULA M A S T E RS S C,06:02.2,Women,400m,Freestyle,,,,
400m FreestyleWomen,20,SMYTH Anne,1960,65-69,T UGGE RA NONGM A S T E RS S W .A CT,06:01.0,Women,400m,Freestyle,,,,
400m FreestyleWomen,21,RI AZ Z I  Ba r b a r a  S u e,1959,65-69,DA YT ONA RE A S HA RK S,05:55.7,Women,400m,Freestyle,,,,
400m FreestyleWomen,22,SNG El a i ne,1958,65-69,GYM P IE GOLDFINS M A S T E RS,05:45.3,Women,400m,Freestyle,,,,
400m FreestyleWomen,23,EDWARDS J oa n,1958,65-69,DE RW E NT S IDE & GA T E S HE A DS T,05:41.4,Women,400m,Freestyle,,,,
400m FreestyleWomen,24,CAS T RO  NE RI  L e t i c i a,1960,65-69,CORA LS P RINGS M A S T E RS,05:38.7,Women,400m,Freestyle,,,,
400m FreestyleWomen,25,TRUS LE R I ngr i d,1959,65-69,COE LA CA NT HM S C,05:17.8,Women,400m,Freestyle,,,,
400m FreestyleWomen,1,GUL E R De n i z,1965,60-64,US K UDA RS US P ORLA RIS .K,08:00.0,Women,400m,Freestyle,,,,
400m FreestyleWomen,2,LI U Chu- Me i,1965,60-64,S A NCHONGFOURS E A S ONS S C,07:55.3,Women,400m,Freestyle,,,,
400m FreestyleWomen,3,AL KAN Ke r i ma n,1965,60-64,FRE K A NS YUZM E A K A DE M IS IS K,07:53.0,Women,400m,Freestyle,,,,
400m FreestyleWomen,4,ZE NKE R P e t r a,1962,60-64,US V T UDRE S DE N,07:51.7,Women,400m,Freestyle,,,,
400m FreestyleWomen,5,WA T E R S  L i b b y,1961,60-64,LA K E M A CQUA RIE CROCS M A S T E RS,07:28.2,Women,400m,Freestyle,,,,
400m FreestyleWomen,6,HART AWAN G a d i z a  V o l a r e,1964,60-64,M ILLE NNIUM A QUA T ICJ A K A RT A,07:22.6,Women,400m,Freestyle,,,,
400m FreestyleWomen,7,EGAN DAVI DSON Yv onne,1965,60-64,P OW E RP OINT S,07:22.2,Women,400m,Freestyle,,,,
400m FreestyleWomen,8,NAKAMURA S a y o k o,1961,60-64,K ONA M IS HINS A IB A S HI,07:20.0,Women,400m,Freestyle,,,,
400m FreestyleWomen,9,SUGI URA Sa c hi k o,1963,60-64,NA K A S UGIS T .B ROS,07:07.5,Women,400m,Freestyle,,,,
400m FreestyleWomen,10,KO RBAN Ma r t i n e,1965,60-64,DOGW OODM A S T E RS S W IM CLUB,07:06.9,Women,400m,Freestyle,,,,
400m FreestyleWomen,11,TI AN Me i l i a n,1965,60-64,S HA NGHA IS W IM S T A RS C,07:03.0,Women,400m,Freestyle,,,,
400m FreestyleWomen,12,CHAV E Z  Me r c e d e s,1965,60-64,A CUA T ICA NE LS ONV A RGA S,06:56.2,Women,400m,Freestyle,,,,
400m FreestyleWomen,13,KURO DA J u n k o,1961,60-64,GOLDRUS H,06:55.0,Women,400m,Freestyle,,,,
400m FreestyleWomen,14,TRE GONNI NG Al e x a ndr a,1961,60-64,CLA RE M ONT M A S T E RS,06:51.8,Women,400m,Freestyle,,,,
400m FreestyleWomen,15,MA R T I N  L y n l e y,1961,60-64,W A IK A T OM A S T E RS S W IM M ING,06:45.0,Women,400m,Freestyle,,,,
400m FreestyleWomen,16,NUMAT A Y a s u y o,1961,60-64,K ONA M IYOK ODA I,06:43.5,Women,400m,Freestyle,,,,
400m FreestyleWomen,17,MA I N  G i l l i a n,1963,60-64,S ILV E RCIT YB LUE S M A S T E RS S C,06:34.7,Women,400m,Freestyle,,,,
400m FreestyleWomen,18,STENHOUSE Ta ma r a,1961,60-64,DA RW INS T INGE RS M A S T E RS S C,06:32.3,Women,400m,Freestyle,,,,
400m FreestyleWomen,19,FARME R Al i s on Ma r ga r e t,1965,60-64,CLA RE M ONT M A S T E RS,06:31.9,Women,400m,Freestyle,,,,
400m FreestyleWomen,20,PUFFI NG Da gma r,1962,60-64,A T US J UDE NB URG,06:24.9,Women,400m,Freestyle,,,,
400m FreestyleWomen,21,RAI NNI E  He l e n,1965,60-64,T OW NS V ILLE A QUA HOLICS M A S T E RS,06:19.6,Women,400m,Freestyle,,,,
400m FreestyleWomen,22,PREY- LUEDTKE Sha r i l l,1964,60-64,LINCOLNM A S T E RS A NDOT HE RS,06:16.1,Women,400m,Freestyle,,,,
400m FreestyleWomen,23,NE WS T E AD S h a r o n,1965,60-64,M A LV E RNM A RLINS,06:13.6,Women,400m,Freestyle,,,,
400m FreestyleWomen,24,SI LVA Ca t i a,1964,60-64,RODRIGONUOT OT RIV INOA E,06:10.0,Women,400m,Freestyle,,,,
400m FreestyleWomen,25,KI RKWO O D T a i n,1963,60-64,LA DIE S ' RE CRE A T IONCLUB,06:05.9,Women,400m,Freestyle,,,,
400m FreestyleWomen,26,SHESTAKOVA Na t a l i a,1963,60-64,NA B,06:02.7,Women,400m,Freestyle,,,,
400m FreestyleWomen,27,FLORE S  Moni c a,1963,60-64,CLUB CA S A B LA NCA,05:50.0,Women,400m,Freestyle,,,,
400m FreestyleWomen,28,RO G E RS  S a n d r a,1964,60-64,S E A S IDE P IRA T E S,05:41.9,Women,400m,Freestyle,,,,
400m FreestyleWomen,29,MC B E A T H  K a r e n,1962,60-64,S ILV E RCIT YB LUE S M A S T E RS S C,05:25.2,Women,400m,Freestyle,,,,
400m FreestyleWomen,30,RE I BE L - O BE RL E  S u s a n n e,1964,60-64,S S V LA HR1921,05:12.4,Women,400m,Freestyle,,,,
400m FreestyleWomen,31,CAMP BE L L  T r i n,1964,60-64,LONE S T A RM A S T E RS,05:10.9,Women,400m,Freestyle,,,,
400m FreestyleWomen,32,KHO URI  Ca r o l a,1962,60-64,FRE M ONT HILLS M A S T E RS,05:08.9,Women,400m,Freestyle,,,,
400m FreestyleWomen,1,VARADY J udi t,1967,55-59,T OROK B A LINT IS E NIORUS ZOCLUB,07:39.5,Women,400m,Freestyle,,,,
400m FreestyleWomen,2,MO N C H  H e i k e,1968,55-59,W S V DIE B URG,07:34.0,Women,400m,Freestyle,,,,
400m FreestyleWomen,3,BE L L Y NCK Ca t h e r i n e,1969,55-59,E CNCHA RT RE S -DE -B RE T A GNE,07:19.0,Women,400m,Freestyle,,,,
400m FreestyleWomen,4,TANNAS  Ka r e n,1966,55-59,B RE A K W A T E RM A S T E RS S W IM CLUB,07:11.1,Women,400m,Freestyle,,,,
400m FreestyleWomen,5,DE AN Ky l i e,1970,55-59,B RIS B A NE S OUT HS IDE M A S T E RS,07:07.6,Women,400m,Freestyle,,,,
400m FreestyleWomen,6,CANDE L ARI A CE RO N Nu r i,1968,55-59,A QUA T IK S P ORT CE NT E R,06:48.3,Women,400m,Freestyle,,,,
400m FreestyleWomen,7,SJ OSTROM Ev a  Anne t t e  Sof,1966,55-59,T A B YS IM,06:47.2,Women,400m,Freestyle,,,,
400m FreestyleWomen,8,HO G UE  Mi c h e l l e  Ch r i s t i n e,1967,55-59,CLA RE M ONT M A S T E RS,06:47.1,Women,400m,Freestyle,,,,
400m FreestyleWomen,9,MI C H E L S  K e r r y - A n n,1967,55-59,B LA CK T OW NCIT YM A S T E RS S W .,06:46.0,Women,400m,Freestyle,,,,
400m FreestyleWomen,10,CAMP BE L L  Ch r i s,1969,55-59,B RIS B A NE S OUT HS IDE M A S T E RS,06:42.8,Women,400m,Freestyle,,,,
400m FreestyleWomen,11,TALBOT Rhonda,1967,55-59,DOGW OODM A S T E RS S W IM CLUB,06:42.4,Women,400m,Freestyle,,,,
400m FreestyleWomen,12,SHPADI  Al l a,1966,55-59,NA B,06:41.5,Women,400m,Freestyle,,,,
400m FreestyleWomen,13,MA R D I A N A  N o v a,1970,55-59,INDOM A S T E RS W IM M E RS,06:40.5,Women,400m,Freestyle,,,,
400m FreestyleWomen,14,SASAKI  Ma r i k o,1968,55-59,T OK YOB A YS C,06:37.0,Women,400m,Freestyle,,,,
400m FreestyleWomen,15,DAWS O N L y n n e,1967,55-59,CHA P E LT OW NS C,06:34.2,Women,400m,Freestyle,,,,
400m FreestyleWomen,16,EDGE J e a n,1966,55-59,S E A S IDE P IRA T E S,06:29.0,Women,400m,Freestyle,,,,
400m FreestyleWomen,17,GORDON J a y n a,1966,55-59,DA RW INS T INGE RS M A S T E RS S C,06:26.1,Women,400m,Freestyle,,,,
